STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980101 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980106 18:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980108 10:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980108 11:00,0.40, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980108 12:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980108 13:00,0.50, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980108 14:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980115 14:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980115 15:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980115 16:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980115 23:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980116 00:00,0.50, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980123 08:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980127 13:00,0.20, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980201 01:00,0.00,g, 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980202 12:00,0.10, , 
COOP:083186,FORT MYERS PAGE FIELD AIRPORT FL US,4.6,26.6,-81.86667,19980202 14:00,0.10, , 
