"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"1999/01/01","00:00","-0.363","-","-0.5"
"1999/01/01","01:00","-0.37","-","-0.52"
"1999/01/01","02:00","-0.275","-","-0.4"
"1999/01/01","03:00","-0.078","-","-0.19"
"1999/01/01","04:00","0.173","-","0.01"
"1999/01/01","05:00","0.411","-","0.21"
"1999/01/01","06:00","0.581","-","0.4"
"1999/01/01","07:00","0.636","-","0.53"
"1999/01/01","08:00","0.548","-","0.5"
"1999/01/01","09:00","0.345","-","0.27"
"1999/01/01","10:00","0.092","-","0.05"
"1999/01/01","11:00","-0.167","-","-0.14"
"1999/01/01","12:00","-0.431","-","-0.35"
"1999/01/01","13:00","-0.698","-","-0.54"
"1999/01/01","14:00","-0.926","-","-0.73"
"1999/01/01","15:00","-1.054","-","-0.9"
"1999/01/01","16:00","-1.051","-","-0.93"
"1999/01/01","17:00","-0.919","-","-0.8"
"1999/01/01","18:00","-0.689","-","-0.64"
"1999/01/01","19:00","-0.424","-","-0.45"
"1999/01/01","20:00","-0.216","-","-0.31"
"1999/01/01","21:00","-0.124","-","-0.14"
"1999/01/01","22:00","-0.14","-","-0.11"
"1999/01/01","23:00","-0.21","-","-0.13"
"1999/01/02","00:00","-0.293","-","-0.21"
"1999/01/02","01:00","-0.355","-","-0.31"
"1999/01/02","02:00","-0.353","-","-0.31"
"1999/01/02","03:00","-0.241","-","-0.11"
"1999/01/02","04:00","-0.028","-","0.13"
"1999/01/02","05:00","0.229","-","0.34"
"1999/01/02","06:00","0.459","-","0.57"
"1999/01/02","07:00","0.606","-","0.76"
"1999/01/02","08:00","0.624","-","0.87"
"1999/01/02","09:00","0.501","-","0.76"
"1999/01/02","10:00","0.276","-","0.52"
"1999/01/02","11:00","0.018","-","0.32"
"1999/01/02","12:00","-0.239","-","0.11"
"1999/01/02","13:00","-0.501","-","-0.1"
"1999/01/02","14:00","-0.762","-","-0.29"
"1999/01/02","15:00","-0.971","-","-0.49"
"1999/01/02","16:00","-1.068","-","-0.59"
"1999/01/02","17:00","-1.028","-","-0.48"
"1999/01/02","18:00","-0.865","-","-0.26"
"1999/01/02","19:00","-0.616","-","-0.05"
"1999/01/02","20:00","-0.354","-","0.21"
"1999/01/02","21:00","-0.167","-","0.38"
"1999/01/02","22:00","-0.101","-","0.53"
"1999/01/02","23:00","-0.136","-","0.61"
"1999/01/03","00:00","-0.217","-","0.61"
"1999/01/03","01:00","-0.307","-","0.53"
"1999/01/03","02:00","-0.373","-","0.45"
"1999/01/03","03:00","-0.364","-","0.42"
"1999/01/03","04:00","-0.239","-","0.65"
"1999/01/03","05:00","-0.015","-","0.9"
"1999/01/03","06:00","0.24","-","1.14"
"1999/01/03","07:00","0.454","-","1.44"
"1999/01/03","08:00","0.571","-","1.73"
"1999/01/03","09:00","0.554","-","1.87"
"1999/01/03","10:00","0.403","-","1.64"
"1999/01/03","11:00","0.167","-","1.34"
"1999/01/03","12:00","-0.087","-","1.11"
"1999/01/03","13:00","-0.335","-","0.86"
"1999/01/03","14:00","-0.586","-","0.64"
"1999/01/03","15:00","-0.826","-","0.43"
"1999/01/03","16:00","-0.999","-","0.22"
